_id,latest_count_id,latest_count_type,latest_count_date_start,latest_count_date_end,latest_count_duration,location_name,longitude,latitude,centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_start,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_start,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
1,3015692,ATR_SPEED_VOLUME,2026-03-24,2026-03-26,72,Manse Rd: Grey Abbey Park Trl - Coronation Dr,-79.17275073677006,43.762194724041926,14668469,667,667,,06:45:00,48,14:30:00,63,40.2,49.1,54.7,
2,3015691,ATR_SPEED_VOLUME,2026-03-24,2026-03-26,72,Coronation Dr: Wallsend Dr - Chemical Crt,-79.1653312765797,43.765020157898704,108576,2181,2181,,07:45:00,178,15:15:00,223,47.6,56.6,62.8,
3,3015694,ATR_SPEED_VOLUME,2026-03-24,2026-03-26,72,Beechgrove Dr: Coronation Dr - Bethley Dr,-79.15902699162677,43.7685584679296,108187,2891.7,2891.7,,08:15:00,229,15:00:00,276,48.8,57.2,68.2,
4,3015693,ATR_SPEED_VOLUME,2026-03-24,2026-03-26,72,Manse Rd: Deanscroft Sq - 235 Manse Rd,-79.17421188188524,43.76558463233289,108514,4729.7,4729.7,,08:00:00,437,17:00:00,471,42.2,51.2,62.1,
5,3015620,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Berry Rd: Bonnyview Dr - Greenmount Rd,-79.49695,43.63538500000001,7846221,6787.7,6787.7,,08:00:00,636,17:00:00,609,45.8,52.5,58.1,
6,3015408,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Davenport Rd: Macpherson Ave - Glen Edyth Dr,-79.40444020448116,43.67728816358493,1140925,11244,11244,,08:15:00,653,16:45:00,737,38.6,44.3,48.6,
7,3015305,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Walter St: Kingston Rd - Lyall Ave,-79.29663500000001,43.68004500000001,10865174,789,789,,08:00:00,130,15:00:00,72,29.1,37,39.8,
8,3015477,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Pitt Ave: Bolster Ave - Dawes Rd,-79.29387853541829,43.706498488154764,2302182,623.3,623.3,,07:45:00,42,17:15:00,73,31.5,39.3,44.3,
9,3015479,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Maybourne Ave: Donside Dr - Conroy Ave,-79.2905829968742,43.70140872007391,112710,244.7,244.7,,08:45:00,24,16:15:00,27,27.4,34.3,38.5,
10,3015480,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Maybourne Ave: Bolster Ave - Dawes Rd,-79.29287207314763,43.706726916321514,112498,365.3,365.3,,08:00:00,30,15:00:00,33,29.2,38.5,43.4,
11,3015481,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Westbourne Ave: Bolster Ave - Dawes Rd,-79.29187198942519,43.70696130865876,112486,465.3,465.3,,08:00:00,40,15:00:00,47,30.7,39.2,43.7,
12,3015482,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Westbourne Ave: Donside Dr - Conroy Ave,-79.28957421696825,43.70163751529959,112703,246,246,,08:15:00,26,15:00:00,28,27.9,36.2,39.4,
13,3015483,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Bexhill Ave: Bolster Ave - Dawes Rd,-79.29088676709688,43.70718137528133,112479,338,338,,08:30:00,28,17:00:00,28,32.3,39.9,44.4,
14,3015529,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Cortleigh Blvd: Ruby Cres - Bathurst St,-79.426725,43.70989,9035867,601.7,601.7,,08:00:00,56,15:45:00,56,31.9,38.8,43.6,
15,3015563,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Royal York Rd: Kingsgrove Blvd - Usher Ave,-79.51452,43.65458,10071609,18073,18073,,08:00:00,1303,16:45:00,1475,43.3,51.6,56.5,
16,3015213,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Rhodes Ave to Fairford Ave,-79.321855,43.676235000000005,1141049,237.7,237.7,,08:00:00,20,16:15:00,21,25.2,33.9,38.6,
17,3015597,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Danesbury Ave: Ridelle Ave - Briar Hill Ave,-79.44448500000001,43.703715,7308,1028,1028,,08:00:00,145,14:45:00,110,29.9,36.4,39.4,
18,3015598,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Danesbury Ave: Stayner Ave - Lilywood Rd,-79.44530915196451,43.705948872674846,9035636,866,866,,08:00:00,155,14:30:00,113,32.1,39.5,44.4,
19,3015602,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Danesbury Ave: Glencairn Ave - Glen Park Ave,-79.446915,43.70879500000001,446197,1122.7,1122.7,,08:00:00,136,16:30:00,122,31.7,38.1,41.9,
